category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
Display,1900888,FIRE - BAR,0.0,"","","",""
Display,2911541,FIRE - KITCHEN,0.0,"","","",""
Add- Ons,2418276,Flat Bread,4.0,"","","",""
Coffee,1224606,Flat white,25.0,"","","",Recipe
Ourdough Hot BEVERAGES,2646595,Flat white,25.0,"","","",""
All- Day,1354512,Fluffy Pancake,61.0,"","","",Recipe
Add- Ons,1216890,French Fries,24.761,"","","",Recipe
Side Dishes,2626010,French fries with Garlic Aioli,27.0,"","","",""
Add- Ons,2272511,Fresh Banana,10.0,"","","",""
ATHAR,3193732,FRESHENERS,55.0,"","","",""
Ourdough Hot BEVERAGES,2646582,Frozen Mint Lemonade,0.0,"","","",""
HEAL HOME STORE NEW,1608474,FUNNEL  VASE,420.0,"","","",""
HEAL HOME STORE NEW,2032310,GHAWA CUP/ 4,150.0,"","","",""
Ourdough cold BEVERAGES,2993338,Ginger Ale,16.0,"","","",""
Cold Beverages,2434481,Ginger Ale,16.0,"","","",""
Pressed Juices,1225264,GINGER SHOT,20.0,"","","",Recipe
Pressed Juices,2508645,GINGER SHOT,24.0,"","","",""
MESHTAKHA,3193067,Gold Dinner Set-18 pcs,450.0,"","","",""
Signatures,2435108,Golden Latte,34.0,"","","",""
Coffee,1574586,Golden Latte,30.476,"","","",Recipe
MESHTAKHA,3193077,Gray Bowl,85.0,"","","",""
MESHTAKHA,3193074,Gray Cake Tray,145.0,"","","",""
MESHTAKHA,3193073,Gray Dinner Set -12pcs,240.0,"","","",""
All- Day,1354518,Greek Yogurt Bowl,61.0,"","","",Recipe
Pressed Juices,1223944,Green Apple,24.0,"","","",Recipe
Smoothies,2101998,Green Energy,36.0,"","","",""
Ourdough Hot BEVERAGES,2646569,Green Tea,29.0,"","","",""
Organic Teas,1310970,Green Tea,29.0,"","","",Recipe
Add- Ons,1224580,Grilled Chicken Breast (150g),28.0,"","","",Recipe
Mains/ Pasta,2645937,Grilled Salmon,98.0,"","","",""
Add- Ons,1753014,Grilled Salmon cubes (80g),28.0,"","","",Recipe
Sharing,3057883,Grilled Sweet Potato ,38.0,"","","",""
Add- Ons,1216861,Grilled Tomatoes,4.0,"","","",Recipe
Sharing,1612803,Guacamole,46.0,"","","",Recipe
Add- Ons,2434479,Halloumi Cheese,10.0,"","","",""
 Ourdough Starters,2728752,Halloumi Fingers,46.0,"","","",""
CERAMIC'S,2824996,Hammered Ceramic Decorative Bowl,150.0,"","","",""
BATH & BODY,2731619,HAND SOAP ,95.0,"","","",""
TESTER HEAL RETAIL,2956604,HAND SOAP EXFLOIATING,0.0,"","","",""
COMPLIMENTARY FOR EVERY 1000 AED PURCHASE,3185791,HAND SOAP sample,0.0,"","","",""
Add- Ons,2433578,Hatta Mangrove Honeycomb,21.0,"","","",""
Pressed Juices,1573817,Heal Beetroot,31.0,"","","",Recipe
CHATFOOD ORDERS,1299464,HEAL GATGERING BOX - ICE SPANISH LATE,202.0,"","","",""
CHATFOOD ORDERS,1299463,HEAL GATHERING BOX - CASCARA,237.0,"","","",""
CHATFOOD ORDERS,1299462,HEAL GATHERING BOX - HIBISCUS,187.0,"","","",""
CHATFOOD ORDERS,1299470,HEAL GATHERING BOX - ICE LATTE,192.0,"","","",""
CHATFOOD ORDERS,1307977,HEAL GATHERING BOX - MIX,207.0,"","","",""
Signatures,2435107,Heal Hot Chocolate,34.0,"","","",""
Coffee,2257400,Heal Hot Chocolate,30.476,"","","",""
Coffee,1224612,HEAL MATCHA LATTE,26.666,"","","",Recipe
HOME FRAGRANCE,2731778,HEAL OUD 12g,260.0,"","","",""
Breakfast,1216758,Heal’s Breakfast,69.0,"","","",Recipe
Coffee,1575910,HEAL’s Golden Latte,30.476,"","","",""
Kids Menu,1725658,Heal's Jr. Breakfast,39.0,"","","",Recipe
HEAL HOME STORE NEW,1603034,HEAL TRAY,189.0,"","","",""
Iced Tea,2435075,Hibiscus,31.0,"","","",""
Pressed Juices,2758094,HIBISCUS,31.0,"","","",""
EXFOLIATING HAND WASH,2923032,HIRIZON EXFOLIATING HANDWASH,95.0,"","","",""
Display,2190518,HOMEMADE ALMOND BUTTER,48.0,"","","",""
Display,2152321,HOMEMADE GRANOLA 350G,57.0,"","","",""
Display,2190635,HOMEMADE MAPLE CANDIED PECANS,44.0,"","","",""
Display,2190519,HOMEMADE PEANUT BUTTER,44.0,"","","",""
Coffee,1310973,Honey Latte,30.476,"","","",Recipe
Signatures,2435109,Honey Latte,34.0,"","","",""
CANDLES,2825183,Horizon Candle Woody Oriental,190.0,"","","",""
HOME FRAGRANCE,2825187,Horizon Diffuser Woody Oriental,290.0,"","","",""
BATH & BODY,2825174,Horizon Hand & Body Lotion Woody Oriental,85.0,"","","",""
COMPLIMENTARY FOR EVERY 1000 AED PURCHASE,3185776,Horizon Hand & Body Lotion Woody Oriental,0.0,"","","",""
COMPLIMENTARY FOR EVERY 1000 AED PURCHASE,3185775,Horizon Hand Wash Woody Oriental,0.0,"","","",""
BATH & BODY,2825177,Horizon Hand Wash Woody Oriental Exfloliating,95.0,"","","",""
COMPLIMENTARY FOR EVERY 1000 AED PURCHASE,3185777,Horizon Home Fragrance Woody Oriental,0.0,"","","",""
HOME FRAGRANCE,2825191,Horizon Home Fragrance Woody Oriental,185.0,"","","",""
Coffee,1224610,HOT CHOCOLATE,25.0,"","","",Recipe
Coffee,1916723,HOT CHOCOLATE,30.476,"","","",Recipe
Mains/ Pasta,3060738,Hot Curry,72.0,"","","",""
Sharing,2727297,Hummus Lahme,54.0,"","","",""
Cold Coffee,2435091,Iced Americano,21.0,"","","",""
Cold Coffee,3110460,Iced Foam Americano,26.0,"","","",""
Flatbreads,2998378,Iced Hibiscus,26.0,"","","",""
Cold Coffee,2435089,Iced Latte,25.0,"","","",""
Flatbreads,2998379,Iced Mint lemonade,26.0,"","","",""
Cold Coffee,2435085,Iced Spanish,29.0,"","","",""
THRA,3193098,INCENSE STICKS GIFT SET,225.0,"","","",""
OUD VAULT HEAL HOME,3045472,INDIAN OUD 24g,380.0,"","","",""
Kids Menu,1725659,Jr. French Toast,34.0,"","","",Recipe
Kids Menu,1725660,Jr. Pancakes,34.0,"","","",Recipe
Flatbreads,2998377,Karak Tea,16.0,"","","",""
Sweet Ends,2941710,Kaymak and Honey,38.0,"","","",""
Display,2823172,KENYA BEANS 1KG,220.0,"","","",""
Display,2823173,KENYA BEANS 250G,60.0,"","","",""
Display,2823174,KENYA DRIP BAG,85.0,"","","",""
Kids Menu,1725663,KIDS SPAGHETTI ,39.0,"","","",Recipe
Deserts,2951472,Kiri Croissant,24.0,"","","",""
Sharing,3059716,Lamb Kofta Skewers,64.0,"","","",""
HEAL HOME STORE NEW,1686336,LARGE BOX,75.0,"","","",""
HEAL HOME STORE NEW,1603247,LARGE SQUEEZE VASE,450.0,"","","",""
MESHTAKHA,3193108,LARGE TISSUE BOX (BEIGE),95.0,"","","",""
MESHTAKHA,3193110,LARGE TISSUE BOX (BROWN),95.0,"","","",""
MESHTAKHA,3193109,LARGE TISSUE BOX (GRAY),95.0,"","","",""
MESHTAKHA,3193088,LARGE TULIP PRAYER MAT (BEIGE),270.0,"","","",""
MESHTAKHA,3193083,Large ZIGZAG PRAYER MAT (BLUE),195.0,"","","",""
MESHTAKHA,3193082,Large ZIGZAG PRAYER MAT (BROWN),195.0,"","","",""
MESHTAKHA,3193084,Large ZIGZAG PRAYER MAT (PINK),195.0,"","","",""
CANDLES,2731704,LAVA CANDLE,165.0,"","","",""
MESHTAKHA,3193065,Leather Bag,195.0,"","","",""
HEAL HOME STORE NEW,1932238,LEATHER RIBBON,9.0,"","","",""
MESHTAKHA,3193061,Leather Tray ( Beige),29.0,"","","",""
MESHTAKHA,3193060,Leather Tray (gray),29.0,"","","",""
Pressed Juices,2435070,Lemonade,24.0,"","","",""
Mains/ Pasta,2645936,Lemon Chicken,82.0,"","","",""
Iced Tea,2101936,Lemon Ginger,30.0,"","","",Recipe
Pressed Juices,2435071,Lemon & Mint,26.0,"","","",""
ESSENCE FRAGRANCE,2547692,LIME 100ML PERFUME-ESSENCE,290.0,"","","",""
HEAL HOME STORE NEW,1926018,LINEN WRAP LARGE,85.0,"","","",""
HEAL HOME STORE NEW,1926013,LINEN WRAP SMALL,65.0,"",HHSLWBS000000,"",""
HEAL HOME STORE NEW,1926019,LINE WRAPPING LARGE,85.0,"","","",""
MESHTAKHA,3193068,Liwan Bed Sheet (Beige),690.0,"","","",""
MESHTAKHA,3193069,Liwan Bed Sheet ( Brown),690.0,"","","",""
MESHTAKHA,3193071,Liwan Bed Sheet ( Gray),690.0,"","","",""
MESHTAKHA,3193070,Liwan Bed Sheet ( Tiffany),690.0,"","","",""
Coffee,1588910, Macchiato,20.0,"","","",Recipe
Kids Menu,1725661,Mac N' Cheese,34.0,"","","",Recipe
All- Day,2626014,Make Your Own Toast,48.0,"","","",""
Display,3116542,Malaysia Tobacco Beans 250G,150.0,"","","",""
CHATFOOD ORDERS,1308039,MANGO MILK CAKE,247.0,"","","",""
Smoothies,2101992,Mango Passion,36.0,"","","",Recipe
Flatbreads,2947599,Margarita,44.0,"","","",""
Side Dishes,2435137,Mashed Potato,31.0,"","","",""
Add- Ons,2433609,MASHED POTATO,28.57,"","","",""
Matcha,2101910,Matcha Goodness,36.0,"","","",Recipe
Matcha,2101935,Matcha Latte,32.0,"","","",""
Breakfast,2188982,Mediterranean Toast,62.0,"","","",Recipe
HEAL HOME STORE NEW,1686337,MEDUIM BOX,60.0,"","","",""
ACCESSORIES,2825195,Meduim Pouch Dust Pink,195.0,"","","",""
ACCESSORIES,2825193,Meduim Pouch Grey,195.0,"","","",""
Add- Ons,1354577,Melted Peanut Butter,8.0,"","","",Recipe
RQ PERFUMES,3193051,MINI BOX 5X45,180.0,"","","",""
Add- Ons,1479894,Mix Berries,15.0,"","","",Recipe
Add- Ons,2845056,mixberry jam,5.0,"","","",""
CHATFOOD ORDERS,1559274,MIX BOX,300.0,"","","",""
CERAMIC'S,2824995,Modern Aztec Serving Plate 32 CM curved,750.0,"","","",""
Flatbreads,2947605,Musakhan Chicken,56.0,"","","",""
Sharing,3059714,Musakhan Rolls,48.0,"","","",""
ESSENCE FRAGRANCE,2547679,MUSK 01 HOME FRAGRANCE-ESSENCE,295.0,"","","",""
Add- Ons,1611171,Nutella,8.0,"","","",Recipe
All- Day,2102123,Oatmeal,52.0,"","","",""
Smoothies,3066534,Ocean Blue,38.0,"","","",""
Pressed Juices,1223943,Orange,24.0,"","","",Recipe
Ourdough cold BEVERAGES,3011263,ORANGE jUICE,24.0,"","","",""
Deserts,2217813,ORANGE LOAF,20.0,"","","",""
ESSENCE FRAGRANCE,2547681,OUD 02 HOME FRAGRANCE,295.0,"","","",""
ESSENCE FRAGRANCE,2547696,OUD 100ML PERFUME-ESSENCE,290.0,"","","",""
HOME FRAGRANCE,2737296,OUD 12g (1 Tola),210.0,"","","",""
THRA,3193094,OUD CAMBOADIAN SET,68.0,"","","",""
THRA,3193097,OUD HINDI MURI,155.0,"","","",""
THRA,3193100,OUD HINDI SALLA,145.0,"","","",""
OUD VAULT HEAL HOME,3070270,Oud vault Oil 12ml,725.0,"","","",""
OUD VAULT HEAL HOME,3070268,Oud vault oil 3ml,250.0,"","","",""
OUD VAULT HEAL HOME,3070269, Oud vault Oil 6ml,425.0,"","","",""
Our Breakfast,2987886,Our breakfast tray,60.0,"","","",""
 Ourdough Starters,2728753,Our Dips Platter,48.0,"","","",""
Sweet Ends,2635561,Ourdough French Toast,0.0,"","","",""
Sharing,2727296,Our Hummus,44.0,"","","",""
Our Breakfast,2987889,Oven Baked Shakshoukah,53.0,"","","",""
Deserts,2981300,Pain AN Chocolate croissant,26.0,"","","",""
