category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
Ourdough cold BEVERAGES,2993336,Still Small,13.0,"","","",""
Cold Beverages,1223936,Still Small,13.0,"","","",Recipe
Matcha,3066536,Strawberry Matcha,38.0,"","","",""
Deserts,1346741,St. Sebastian Cheese Cake,46.0,"","","",Recipe
Breakfast,2389848,Sweet Potato Avo,59.0,"","","",Recipe
Side Dishes,3107524,Sweet Potato Fries,30.0,"","","",""
ACCESSORIES,2742496,TABLE MAT,50.0,"","","",""
HEAL HOME STORE NEW,1748692,TASSEL,15.75,"","","",""
Organic Teas,1576209,Tea,29.0,"","","",Recipe
Add- Ons,2433619,TENDER SHRIMPS,15.238,"","","",""
Our Breakfast,3059077,tester,0.0,"","","",""
TESTER HEAL RETAIL,2952881,TESTER AMBER,0.0,"","","",""
TESTER HEAL RETAIL,2952903,TESTER AMBER BURNER,0.0,"","","",""
TESTER HEAL RETAIL,2952917,TESTER ARABIAN CANDLE,0.0,"","","",""
TESTER HEAL RETAIL,2952925,TESTER ARABIAN DIFFUSER,0.0,"","","",""
TESTER HEAL RETAIL,2952914,TESTER ARABIAN HANDWASH,0.0,"","","",""
TESTER HEAL RETAIL,2952932,TESTER ARABIAN LOTION,0.0,"","","",""
TESTER HEAL RETAIL,2952921,TESTER ARABIAN SPRAY,0.0,"","","",""
TESTER HEAL RETAIL,2952894,TESTER AROMA HAIR MIST,0.0,"","","",""
TESTER HEAL RETAIL,2952883,TESTER AROMA PERFUME,0.0,"","","",""
TESTER HEAL RETAIL,2952895,TESTER AURA HAIR MIST,0.0,"","","",""
TESTER HEAL RETAIL,2952879,TESTER AURA PERFUME,0.0,"","","",""
TESTER HEAL RETAIL,2952891,TESTER BY WAY HAIR MIST,0.0,"","","",""
TESTER HEAL RETAIL,2952902,TESTER CANDLE KIT,0.0,"","","",""
TESTER HEAL RETAIL,2952910,TESTER CANDLES,0.0,"","","",""
TESTER HEAL RETAIL,2952911,TESTER CLAY,0.0,"","","",""
TESTER HEAL RETAIL,2952899,TESTER COTTON 03,0.0,"","","",""
TESTER HEAL RETAIL,2952905,TESTER DKHOON 01,0.0,"","","",""
TESTER HEAL RETAIL,2952906,TESTER DKHOON 02,0.0,"","","",""
TESTER HEAL RETAIL,2952907,TESTER DKHOON 03,0.0,"","","",""
TESTER HEAL RETAIL,2952916,TESTER DUNE CANDLE,0.0,"","","",""
TESTER HEAL RETAIL,2952924,TESTER DUNE DIFFUSER,0.0,"","","",""
TESTER HEAL RETAIL,2952913,TESTER DUNE HANDWASH,0.0,"","","",""
TESTER HEAL RETAIL,2952931,TESTER DUNE LOTION,0.0,"","","",""
TESTER HEAL RETAIL,2952920,TESTER DUNE SPRAY,0.0,"","","",""
TESTER HEAL RETAIL,2952929,TESTER DUSK,0.0,"","","",""
TESTER HEAL RETAIL,2952919,TESTER HORIZON CANDLE,0.0,"","","",""
TESTER HEAL RETAIL,2952926,TESTER HORIZON DIFFUSER,0.0,"","","",""
TESTER HEAL RETAIL,2952915,TESTER HORIZON HANDWASH,0.0,"","","",""
TESTER HEAL RETAIL,2952933,TESTER HORIZON LOTION,0.0,"","","",""
TESTER HEAL RETAIL,2952923,TESTER HORIZON SPRAY,0.0,"","","",""
TESTER HEAL RETAIL,2952889,TESTER LIME PERFUME,0.0,"","","",""
TESTER HEAL RETAIL,2952885,TESTER OUD,0.0,"","","",""
TESTER HEAL RETAIL,2952898,TESTER OUD 02,0.0,"","","",""
TESTER HEAL RETAIL,2952887,TESTER OUD PERFUME,0.0,"","","",""
TESTER HEAL RETAIL,2952901,TESTER OUD TOLA 12G,0.0,"","","",""
TESTER HEAL RETAIL,2952884,TESTER ROLLER SET,0.0,"","","",""
TESTER HEAL RETAIL,2952880,TESTER SAFFRON PERFUME,0.0,"","","",""
TESTER HEAL RETAIL,2952890,TESTER SANDAL PERFUME,0.0,"","","",""
TESTER HEAL RETAIL,2952904,TESTER SCENTED BURNER,0.0,"","","",""
TESTER HEAL RETAIL,2952927,TESTER SERENE,0.0,"","","",""
TESTER HEAL RETAIL,2952909,TESTER TABLE MAT,0.0,"","","",""
TESTER HEAL RETAIL,2952908,TESTER TOTE BAG,0.0,"","","",""
TESTER HEAL RETAIL,3101528,TESTER TRIAL 100ML HAIR MIST-ESSENCE,0.0,"","","",""
TESTER HEAL RETAIL,2952900,TESTER WARD 04,0.0,"","","",""
TESTER HEAL RETAIL,2952882,TESTER WARD PERFUME,0.0,"","","",""
CERAMIC'S,2824985,Textured Edge Serving Plate 35ms,300.0,"","","",""
OUD VAULT HEAL HOME,3045473,THAILAND OUD 24g,475.0,"","","",""
Flatbreads,2961244,Three Cheese,42.0,"","","",""
Salads & Bowls,2877368,Tijuana,65.0,"","","",""
Deserts,1421935,Tiramisu Cake,48.0,"","","",Recipe
All- Day,3057783,Tiramisu French Toast,66.0,"","","",""
Signatures,2435105,Tiramisu Latte,36.0,"","","",""
Coffee,2257401,TIRAMISU LATTE,33.333,"","","",""
ACCESSORIES,2732601,TOTE BAGS ,55.0,"","","",""
CERAMIC'S,2825001,Traditional MudKhan,210.0,"","","",""
MESHTAKHA,3193063,Trash Bin (Beige),149.0,"","","",""
MESHTAKHA,3193062,Trash Bin (Brown),149.0,"","","",""
MESHTAKHA,3193064,Trash Bin (Gray),149.0,"","","",""
THRA,3193093,TRAVEL MADKAN SET (WHITE),165.0,"","","",""
ESSENCE FRAGRANCE,2547710,TRIAL 100ML HAIR MIST-ESSENCE,265.0,"","","",""
ESSENCE FRAGRANCE,3099230,TRIAL HAIR MIST,265.0,"","","",""
CERAMIC'S,2824998,Triple Dip Bowl Set,250.0,"","","",""
Flatbreads,2635535,Truffle & Cheese,60.0,"","","",""
Breakfast,1354563,Truffled Croissant,69.0,"","","",Recipe
Breakfast,2627536,Truffle Omelet,69.0,"","","",""
Side Dishes,2435140,Truffle Parmesan Fries,38.0,"","","",""
Add- Ons,1216834,Turkey bacon,13.333,"","","",Recipe
Flatbreads,2961255,Turkey & Cheese,52.0,"","","",""
Add- Ons,2627539,Turkey Sausage 3pcs,15.0,"","","",""
Breakfast,2189005,Turkish Egg,59.0,"","","",Recipe
Our Breakfast,2987890,Turkish Eggs,50.0,"","","",""
Flatbreads,2635537,Turkish Eggs,48.0,"","","",""
Display,2758092,UGANDA BEANS 1KG,180.0,"","","",""
Display,2758093,UGANDA BEANS 250G,50.0,"","","",""
Sweet Ends,2635562,Umm Ali ,42.0,"","","",""
CHATFOOD ORDERS,1308040,UMM ALI,227.0,"","","",""
Ourdough Hot BEVERAGES,2646597,V60,36.0,"","","",""
Coffee,2036338,V60 BRAZILIAN,36.0,"","","",Recipe
Coffee,1224607,V60 COLOMBIAN,36.0,"","","",Recipe
Coffee,2752225,V60 Colombian Decaf,36.0,"","","",""
Coffee,2752226,V60 COSTA RICA,36.0,"","","",""
Coffee,2752224,V60 ETHOPIAN,36.0,"","","",""
Coffee,2825145,V60 KENYA,36.0,"","","",""
Coffee,2762415,V60 UGANDA,36.0,"","","",""
Deserts,1248191,Vanilla Icecream,12.0,"","","",Recipe
CANDLES,2825179,""" Vanilla & Musk 300g Candle""",190.0,"","","",""
Coffee,3093809,vanilla syrup,5.0,"","","",""
HOME FRAGRANCE,2807812,VASE CIRCLE INSENSE,200.0,"","","",""
Mojitos,2101943,VIRGIN MOJITO,34.0,"","","",""
Mains/ Pasta,3057877,Wagyu Beef Burger,71.0,"","","",""
ESSENCE FRAGRANCE,2547678,WARD 04 HOME FRAGRANCE-ESSENCE,295.0,"","","",""
ESSENCE FRAGRANCE,2547687,WARD 100ML PERFUM-ESSENCE,290.0,"","","",""
CERAMIC'S,2824988,Wave Display Bowl 32 CM,600.0,"","","",""
HOME FRAGRANCE,2731742,WHITE CLAY MUDKHAN,135.0,"","","",""
HEAL HOME STORE NEW,1870769, WRAPPING PAPER NEW,25.0,"","","",""
Flatbreads,2947602,Zaatar & Cheese,44.0,"","","",""
Add- Ons,2433605,ZAATAR POTATOES,30.476,"","","",""
Flatbreads,2635534,Zaatar & Stracciatella,48.0,"","","",""
ESSENCE FRAGRANCE,2547684,ZAFFRON 100ML PERFUME-ESSENCE,290.0,"","","",""
