category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
EVENT MENU ,2928920,The Go Shawty It'S Yo B-Day (Single Serving),20,,,,
B2B MENU,3007669,Box of 4 Lil' Titos,18,,,,
EVENT MENU ,2928895,The Lil' Titos,75,,,,
EVENT MENU ,2931727,The Lil' Titos (10 pcs),45,,,,
EVENT MENU ,2928896,The Lil' Titos (10 pcs),45,,,,
EVENT MENU ,2928879,The Milo Cookie,20,,,,
EVENT MENU ,2928870,The OG Cookie,15,,,,
EVENT MENU ,2928918,The Thikr Than A Snikr (Single Serving),20,,,,
EVENT MENU ,2931193,TURKISH,15,,,,
EVENT MENU ,2931228,WATER,10,,,,
